id,groups,sub_categories,categories,person,keyword,count,total_event,period_1_plus,period_1_minus,period_1_total,period_2_plus,period_2_minus,period_2_total,period_1_plus_percentage,period_1_minus_percentage,period_2_plus_percentage,period_2_minus_percentage
118,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ศักดิ์สยาม ชิดชอบ,ศักดิ์สยาม,19,19,0,0,0,11,-8,19,0.0,0.0,57.89473684210527,42.10526315789473
115,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ไพบูลย์ นิติตะวัน,ไพบูลย์,18,18,0,0,0,15,-3,18,0.0,0.0,83.33333333333334,16.666666666666664
164,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ไพบูลย์ นิติตะวัน,ไพบูลย์,18,18,0,0,0,15,-3,18,0.0,0.0,83.33333333333334,16.666666666666664
216,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สุทิน คลังแสง,สุทิน,18,18,0,0,0,1,-17,18,0.0,0.0,5.555555555555555,94.44444444444444
78,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สุริยะ จึงรุ่งเรืองกิจ,สุริยะ,16,16,0,0,0,10,-6,16,0.0,0.0,62.5,37.5
105,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สุริยะ จึงรุ่งเรืองกิจ,สุริยะ,16,16,0,0,0,10,-6,16,0.0,0.0,62.5,37.5
79,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พิธา ลิ้มเจริญรัตน์,พิธา,16,16,0,0,0,3,-13,16,0.0,0.0,18.75,81.25
141,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พิธา ลิ้มเจริญรัตน์,"พิธา , ทิม",16,16,0,0,0,3,-13,16,0.0,0.0,18.75,81.25
279,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคไทยศรีวิไลย์,ไทยศรีวิไลย์,16,16,0,0,0,1,-15,16,0.0,0.0,6.25,93.75
284,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคเศรษฐกิจไทย,เศรษฐกิจไทย,16,16,0,0,0,4,-12,16,0.0,0.0,25.0,75.0
144,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรณิการ์ วานิช,"พรรณิการ์ , ช่อ",15,15,0,0,0,6,-9,15,0.0,0.0,40.0,60.0
244,ส.ว. ชุดที่ 12,สายกลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,เสรี สุวรรณภานนท์,เสรี,15,15,0,0,0,4,-11,15,0.0,0.0,26.666666666666668,73.33333333333333
60,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,วราวุธ ศิลปอาชา,วราวุธ,14,14,0,0,0,13,-1,14,0.0,0.0,92.85714285714286,7.142857142857142
