date_time,title,link,person,groups,sub_categories,categories,score,year,month
2016-12-29 11:07:00,นายกฯ เผย “ป๋าเปรม” ถามแผนปี 60 หลังอวยพรปีใหม่ ชูทำปฏิรูปให้ชัดขึ้น,https://mgronline.com/politics/detail/9590000129494,"พลเอก เปรม ติณสูลานนท์,","ประธานคณะองคมนตรี,","องคมนตรี,","วัง & องคมนตรี,",1.0,2016,12
2016-08-31 11:06:00,“บิ๊กตู่” ปัด “ป๋าเปรม” เอี่ยวตั้ง ผบ.ทบ. ยันพิจารณาร่วมกับ “บิ๊กป้อม-ผบ.เหล่าทัพ“”,https://mgronline.com/politics/detail/9590000087220,"พลเอก เปรม ติณสูลานนท์,พลเอก ประยุทธ์ จันทร์โอชา,พลเอก ประวิตร วงษ์สุวรรณ,","ประธานคณะองคมนตรี,ครม. ชุดที่ 62,ครม. ชุดที่ 62,","องคมนตรี,สายพรรคการเมือง,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2016,8
2016-08-29 16:20:00,“บิ๊กตู่” ขออย่าดึงเอี่ยว “ป๋าเปรมโมเดล-เพื่อนถกตั้งพรรค” ชี้ตีความผิดบอกนั่งนายกฯ ต่อ,https://mgronline.com/politics/detail/9590000086570,"พลเอก เปรม ติณสูลานนท์,พลเอก ประยุทธ์ จันทร์โอชา,","ประธานคณะองคมนตรี,ครม. ชุดที่ 62,","องคมนตรี,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,",1.0,2016,8
2016-08-25 14:44:00,“ป๋าเปรม” เปิดให้ “บิ๊กตู่” นำคณะอวยพร ย้ำเชียร์อยู่ให้บรรลุภารกิจ ขอสื่อเป็นกลาง,https://mgronline.com/politics/detail/9590000085242,"พลเอก เปรม ติณสูลานนท์,พลเอก ประยุทธ์ จันทร์โอชา,","ประธานคณะองคมนตรี,ครม. ชุดที่ 62,","องคมนตรี,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,",1.0,2016,8
2016-08-07 15:15:00,“สุรยุทธ์” ชวนประชาชนออกเสียงประชามติให้ได้ร้อยละ 80 รับแตกต่างจากปี 50,https://mgronline.com/politics/detail/9590000078450,"พลเอก สุรยุทธ์ จุลานนท์,","ประธานคณะองคมนตรี,","องคมนตรี,","วัง & องคมนตรี,",1.0,2016,8
2016-08-07 09:41:00,“ป๋าเปรม” ลงประชามติ ขอเริ่มปรองดองมากขึ้น “ประวิตร” มั่นใจเจ้าหน้าที่ไม่มีโกง,https://mgronline.com/politics/detail/9590000078306,"พลเอก เปรม ติณสูลานนท์,พลเอก ประวิตร วงษ์สุวรรณ,","ประธานคณะองคมนตรี,ครม. ชุดที่ 62,","องคมนตรี,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,",1.0,2016,8
2016-03-17 15:00:00,“ป๋าเปรม” ปัดตอบ “จิ๋ว” ขอพบ ไม่วิจารณ์ร่าง รธน. จำไม่ได้สมัยนั่งนายกฯ มี ส.ว.สรรหาหรือไม่,https://mgronline.com/politics/detail/9590000028023,พลเอก เปรม ติณสูลานนท์,"ประธานคณะองคมนตรี,","องคมนตรี,","วัง & องคมนตรี,",1.0,2016,3
2016-03-08 16:55:00,“บิ๊กป้อม” โวยมโนหาว่าวัด “ป๋าเปรม” รับถูกกันดี “พะจุณณ์” ไม่เคยทะเลาะน้อง,https://mgronline.com/politics/detail/9590000024647,"พลเอก เปรม ติณสูลานนท์,พลเอก ประวิตร วงษ์สุวรรณ,","ประธานคณะองคมนตรี,ครม. ชุดที่ 62,","องคมนตรี,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,",1.0,2016,3
2015-12-30 11:54:00,“ป๋าเปรม” ขอบคุณ “บิ๊กตู่” ไม่ลืมกัน ย้ำรู้รักสามัคคีสำคัญ  เชื่อ “บิ๊กโด่ง” คนดี,https://mgronline.com/politics/detail/9580000142726,"พลเอก เปรม ติณสูลานนท์,พลเอก ประยุทธ์ จันทร์โอชา,","ประธานคณะองคมนตรี,ครม. ชุดที่ 62,","องคมนตรี,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,",1.0,2015,12
2015-12-15 18:16:00,นายกฯแจ้ง ครม.“สมเด็จพระบรมฯ” ทรงมีพระกระแสรับสั่ง ขอบใจประชาชนคนไทยทุกคนที่ได้ร่วมกันจัดกิจกรรมปั่นเพื่อพ่อ,https://mgronline.com/politics/detail/9580000137681,"พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,","สมาชิกราชวงศ์จักรี,","วัง,","วัง & องคมนตรี,",1.0,2015,12
2015-11-24 14:24:00,เชิญ “พล.อ.เปรม” เปิดตัว “พิพิธภัณฑ์ต้านโกง” พรุ่งนี้ - ป.ป.ช ชู 10 ส่วนงานแสดง,https://mgronline.com/politics/detail/9580000130264,"พลเอก เปรม ติณสูลานนท์,","ประธานคณะองคมนตรี,","องคมนตรี,","วัง & องคมนตรี,",1.0,2015,11
2015-10-21 17:32:00,“สมเด็จพระบรมฯ” ทรงจักรยานนำขบวน “ปั่นเพื่อพ่อ” 11 ธ.ค.นี้ บ่าย 3 โมง,https://mgronline.com/politics/detail/9580000117985,"พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,","สมาชิกราชวงศ์จักรี,","วัง,","วัง & องคมนตรี,",1.0,2015,10
2015-10-15 13:41:00,“ป๋าเปรม” ย้ำต้องแทนคุณแผ่นดิน อย่าให้คนไม่ดีทำลายชาติ ขออย่าแบ่งแยก,https://mgronline.com/politics/detail/9580000115566,"พลเอก เปรม ติณสูลานนท์,","ประธานคณะองคมนตรี,","องคมนตรี,","วัง & องคมนตรี,",1.0,2015,10
