date_time,title,link,person,groups,sub_categories,categories,score,year,month
2012-07-26 17:39:00,ป.ป.ช.เชือด “เทพเทือก” ผิด รธน.กรณีทำหนังสือแต่งตั้ง ส.ส.ช่วยราชการ,https://mgronline.com/politics/detail/9550000092093,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,","ป.ป.ช.,","สายองค์กรอิสระ,","ศาล & องค์กรอิสระ,",1.0,2012,7
2012-07-25 10:28:00,ศาลฎีกาฯ รับฟ้อง “แม้ว” กับพวก ทุจริตปล่อยกู้กรุงไทย 9 พันล้าน,https://mgronline.com/politics/detail/9550000091201,"ศาลยุติธรรม,ทักษิณ ชินวัตร,","ศาลยุติธรรม,คนเบื้องหลังพรรคการเมือง,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,7
2012-07-19 19:24:00,ผู้ตรวจการแผ่นดินไม่ชี้ “มาร์ค” หนีทหารจริงหรือไม่ ดูแค่ “สุกำพล” ละเลย-ปัดถูกยืมมือ,https://mgronline.com/politics/detail/9550000089022,"ผู้ตรวจการแผ่นดิน,อภิสิทธิ์ เวชชาชีวะ,","ผผ.,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,7
2012-07-04 11:24:00,ปชป.เอาคืน “เรืองไกร” ยื่น ป.ป.ช.สอบ 3 ปี เงินงอก 34 ล้าน,https://mgronline.com/politics/detail/9550000081785,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พรรคประชาธิปัตย์,","ป.ป.ช.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,7
2012-06-23 13:24:00,พท.โวย กกต.ไร้มาตรฐานให้ใบแดง “การุณ” แต่ยกคำร้องแจกซีดีเผาเมือง,https://mgronline.com/politics/detail/9550000077121,"คณะกรรมการการเลือกตั้ง,พรรคเพื่อไทย,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2012,6
2012-06-07 17:56:00,ศาลรธน.เปิด 5 คำร้องเข้าข่ายล้มล้างการปกครอง ชี้ต้นเหตุอสส.ทำงานล่าช้า,https://mgronline.com/politics/detail/9550000070110,"ศาลรัฐธรรมนูญ,","ศาลรัฐธรรมนูญ,","สายศาล,","ศาล & องค์กรอิสระ,",-1.0,2012,6
2012-06-05 17:52:00,ศาลรัฐธรรมนูญจ่อแจงข้อเท็จจริงคำสั่งเบรกแก้ รธน.เร็วๆ นี้,https://mgronline.com/politics/detail/9550000068971,"ศาลรัฐธรรมนูญ,","ศาลรัฐธรรมนูญ,","สายศาล,","ศาล & องค์กรอิสระ,",-1.0,2012,6
2012-06-03 14:03:00,ปชป.จับโกหก “ทักษิณ” อ้างมีเงิน 4.6 หมื่น ล.ไม่ตรงกับ ป.ป.ช.-จัดพิมพ์หนังสือต้าน กม.ปรองดองแสนเล่ม,https://mgronline.com/politics/detail/9550000067991,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พรรคประชาธิปัตย์,","ป.ป.ช.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,6
2012-05-28 16:07:00,“สาธิต” ยื่น ป.ป.ช.ฟัน ครม.ผิด ม.157 จ่ายม็อบ 7.75 ล้าน ทั้งๆ ที่ไร้อำนาจ,https://mgronline.com/politics/detail/9550000065398,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,สาธิต ปิตุเตชะ,สาธิต ปิตุเตชะ,","ป.ป.ช.,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,5
2012-05-21 17:52:00,กกต.เปิด 7 สำนวนยุบพรรค “ทักษิณคิด เพื่อไทยทำ” จ่อถึงมือนายทะเบียน,https://mgronline.com/politics/detail/9550000062527,"คณะกรรมการการเลือกตั้ง,พรรคเพื่อไทย,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,5
2012-05-19 13:01:00,พท.ไม่หนักใจถูกยื่นยุบพรรค อ้าง กกต.รับรองเอง “จตุพร”เป็นผู้สมัคร ส.ส.ได้,https://mgronline.com/politics/detail/9550000061683,"คณะกรรมการการเลือกตั้ง,พรรคเพื่อไทย,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2012,5
2012-05-18 15:46:00,ปชป.จี้ กกต.ส่งศาลฎีกาเอา “จตุพร” ติดคุก พร้อมยุบเพื่อไทย,https://mgronline.com/politics/detail/9550000061413,"ศาลยุติธรรม,คณะกรรมการการเลือกตั้ง,พรรคประชาธิปัตย์,พรรคเพื่อไทย,","ศาลยุติธรรม,กกต.,พรรคการเมือง,พรรคการเมือง,","สายศาล,สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,5
2012-05-17 12:40:00,ปชป.ยื่น อสส.เร่งฟ้องศาลฎีกาฟัน “แม้ว” คดีกรุงไทย จวกดองมา 3 ปี จี้ตอบใน 30 วัน,https://mgronline.com/politics/detail/9550000060750,"ศาลยุติธรรม,พรรคประชาธิปัตย์,ทักษิณ ชินวัตร,","ศาลยุติธรรม,พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายศาล,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,5
2012-05-16 16:54:00,พท.ยื่น กมธ.ป.ป.ช.สภา สอบ กทม.ต่อสัญญารถไฟฟ้า,https://mgronline.com/politics/detail/9550000060414,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พรรคเพื่อไทย,","ป.ป.ช.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2012,5
