id,groups,sub_categories,categories,person,keyword,count
144,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรณิการ์ วานิช,"พรรณิการ์ , ช่อ",15
244,ส.ว. ชุดที่ 12,สายกลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,เสรี สุวรรณภานนท์,เสรี,15
60,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,วราวุธ ศิลปอาชา,วราวุธ,14
130,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,วราวุธ ศิลปอาชา,วราวุธ,14
65,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พลเอก อนุพงษ์ เผ่าจินดา,"อนุพงษ์ , ป๊อก , บิ๊กป๊อก , พล.อ.อนุพงษ์",14
66,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,นิพนธ์ บุญญามณี,นิพนธ์,14
68,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สมศักดิ์ เทพสุทิน,สมศักดิ์,14
107,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สมศักดิ์ เทพสุทิน,สมศักดิ์,14
269,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคเศรษฐกิจใหม่,"เศรษฐกิจใหม่ , ศม.",14
195,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ชลน่าน ศรีแก้ว,ชลน่าน,13
204,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ชลน่าน ศรีแก้ว,ชลน่าน,13
199,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ศรัณย์วุฒิ ศรัณย์เกตุ,ศรัณย์วุฒิ,12
231,ส.ว. ชุดที่ 12,สายกลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,คำนูณ สิทธิสมาน,คำนูณ,12
59,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ชัยวุฒิ ธนาคมานุสรณ์,ชัยวุฒิ,11
111,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ชัยวุฒิ ธนาคมานุสรณ์,ชัยวุฒิ,11
233,ส.ว. ชุดที่ 12,สายกลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,ถวิล เปลี่ยนศรี,ถวิล,11
276,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคประชาชาติ,ประชาชาติ,11
260,ส.ว. ชุดที่ 12,สายกลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พลตำรวจเอก จักรทิพย์ ชัยจินดา,"จักรทิพย์ , บิ๊กแป๊ะ",10
117,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ชัย ชิดชอบ,ชัย,10
129,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,มิ่งขวัญ แสงสุวรรณ์,"มิ่งขวัญ , เจ๊มิ่ง",10
83,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,รังสิมันต์ โรม,"รังสิมันต์ , โรม",9
149,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,รังสิมันต์ โรม,รังสิมันต์,9
109,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,วิรัช รัตนเศรษฐ,วิรัช,9
194,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ศรีนวล บุญลือ,ศรีนวล,9
203,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ศรีนวล บุญลือ,ศรีนวล,9
280,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคไทยรักษาชาติ,"ไทยรักษาชาติ , ทษช.",9
32,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สมคิด จาตุศรีพิทักษ์,"สมคิด , รองฯ สมคิด",8
86,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,อมรัตน์ โชคปมิตต์กุล,"อมรัตน์ , เจี๊ยบ ก้าวไกล , เจี๊ยบ , ส.ส.เจี๊ยบ , เจ๊เจี๊ยบ ก้าวไกล , เจี๊ยบ คอนถม",8
277,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคเพื่อชาติ,เพื่อชาติ,8
39,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,อนุชา นาคาศัย,อนุชา,7
177,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,อนุชา นาคาศัย,อนุชา,7
56,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ถาวร เสนเนียม,ถาวร,7
77,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สาธิต ปิตุเตชะ,สาธิต,7
227,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สาธิต ปิตุเตชะ,สาธิต,7
167,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,จิรายุ ห่วงทรัพย์,จิรายุ,7
268,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคพลังท้องถิ่นไท,พลังท้องถิ่นไท,7
44,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สันติ พร้อมพัฒน์,สันติ,6
110,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สันติ พร้อมพัฒน์,สันติ,6
71,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,นฤมล ภิญโญสินวัฒน์,นฤมล,6
108,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,นฤมล ภิญโญสินวัฒน์,นฤมล,6
76,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,กนกวรรณ วิลาวัลย์,กนกวรรณ,6
119,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,กนกวรรณ วิลาวัลย์,กนกวรรณ,6
181,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,นิโรธ สุนทรเลขา,นิโรธ,6
183,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรพิมล ธรรมสาร,พรพิมล,6
281,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคกล้า,กล้า,6
88,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,วิโรจน์ ลักขณาอดิศร,วิโรจน์,5
157,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,วิโรจน์ ลักขณาอดิศร,วิโรจน์,5
270,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคชาติพัฒนา,"ชาติพัฒนา , ชพ.",5
36,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ดอน ปรมัตถ์วินัย,ดอน,4
45,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ดอน ปรมัตถ์วินัย,ดอน,4
245,ส.ว. ชุดที่ 12,สายกลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,ดอน ปรมัตถ์วินัย,ดอน,4
38,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,เทวัญ ลิปตพัลลภ,เทวัญ,4
134,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,เทวัญ ลิปตพัลลภ,เทวัญ,4
50,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,เฉลิมชัย ศรีอ่อน,เฉลิมชัย,4
85,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,คารม พลพรกลาง,คารม,4
154,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,คารม พลพรกลาง,คารม,4
97,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,กรณ์ จาติกวณิช,กรณ์,4
131,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,นิกร จำนง,นิกร,4
192,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สมพงษ์ อมรวิวัฒน์,สมพงษ์,4
201,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สมพงษ์ อมรวิวัฒน์,สมพงษ์,4
215,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ยุทธพงศ์ จรัสเสถียร,ยุทธพงศ์,4
286,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคสร้างอนาคตไทย,สร้างอนาคตไทย,4
47,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,จุติ ไกรฤกษ์,จุติ,3
98,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,จุติ ไกรฤกษ์,จุติ,3
48,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สุวิทย์ เมษินทรีย์,สุวิทย์,3
58,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พุทธิพงษ์ ปุณณกันต์,พุทธิพงษ์,3
106,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พุทธิพงษ์ ปุณณกันต์,พุทธิพงษ์,3
73,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ณัฏฐพล ทีปสุวรรณ,ณัฏฐพล,3
104,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ณัฏฐพล ทีปสุวรรณ,ณัฏฐพล,3
166,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,นาวาอากาศเอก อนุดิษฐ์ นาครทรรพ,อนุดิษฐ์,3
184,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ปดิพัทธ์ สันติภาดา,ปดิพัทธ์,3
187,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ชาดา ไทยเศรษฐ์,ชาดา,3
257,ส.ว. ชุดที่ 12,สายกลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พลอากาศเอก แอร์บูล สุทธิวรรณ,แอร์บูล,2
99,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,องอาจ คล้ามไพบูลย์,องอาจ,2
135,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,มงคลกิตติ์ สุขสินธารานนท์,"มงคลกิตติ์ , ด.ช.มงคลกิตติ์ , เต้ มงคลกิตติ์ , เต้  พระราม 7",2
138,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,นิคม บุญวิเศษ,นิคม,2
172,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ณัฐชา บุญไชยอินสวัสดิ์,ณัฐชา,2
180,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,วีระกร คำประกอบ,วีระกร,2
220,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ผ่องศรี แซ่จึง,ผ่องศรี,2
222,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,จารึก ศรีอ่อน,จารึก,2
223,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สุชาติ ตันเจริญ,สุชาติ,2
226,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,กวินนาถ ตาคีย์,กวินนาถ,2
234,ส.ว. ชุดที่ 12,สายกลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,ธานี อ่อนละเอียด,ธานี,2
239,ส.ว. ชุดที่ 12,สายกลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,วันชัย สอนศิริ,วันชัย,2
285,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคไทยภักดี,ไทยภักดี,2
261,ส.ว. ชุดที่ 12,สายกลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พลตำรวจเอก สุวัฒน์ แจ้งยอดสุข,สุวัฒน์,1
37,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สุพัฒนพงษ์ พันธ์มีเชาว์,สุพัฒนพงษ์,1
62,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สุพัฒนพงษ์ พันธ์มีเชาว์,สุพัฒนพงษ์,1
49,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,เอนก เหล่าธรรมทัศน์,เอนก,1
55,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,อธิรัฐ รัตนเศรษฐ,อธิรัฐ,1
212,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,อธิรัฐ รัตนเศรษฐ,อธิรัฐ,1
70,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สุชาติ ชมกลิ่น,สุชาติ,1
224,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สุชาติ ชมกลิ่น,สุชาติ,1
80,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สุรเชษฐ์ ประวีณวงศ์วุฒิ,สุรเชษฐ์,1
145,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สุรเชษฐ์ ประวีณวงศ์วุฒิ,สุรเชษฐ์,1
81,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พิจารณ์ เชาวพัฒนวงศ์,พิจารณ์,1
84,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สุเทพ อู่อ้น,สุเทพ,1
153,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สุเทพ อู่อ้น,สุเทพ,1
90,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ณัฐวุฒิ บัวประทุม,ณัฐวุฒิ,1
160,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ณัฐวุฒิ บัวประทุม,ณัฐวุฒิ,1
103,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,มัลลิกา บุญมีตระกูล มหาสุข,มัลลิกา,1
112,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,เอกราช ช่างเหลา,เอกราช,1
122,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,เอกราช ช่างเหลา,เอกราช,1
121,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สำลี รักสุทธี,สำลี,1
161,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สำลี รักสุทธี,สำลี,1
125,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,วิรัตน์ วรศสิริน,วิรัตน์,1
